uuid, AuthorYear,Include,BiasRating,N,StatType,StatTypeDetails,ModelDescription,StatGrouping,,Stat,CILow,CIHigh,SE,T-Ratio,Wald,PValue,Statistic from Largest Model,Table,ModelNumber,Finding In Abstract?,PreventativeOrRecovery,OutcomeType,OutcomeSubType,OutcomeScale,OutcomeScaleDetails,OutcomeDetails,Outcome Directionality,ToInvert,OutcomeNotes,Outcome Measured at Baseline?,ExposureCategory,Exposure,Exposure - Additional Notes,Exposure Measured at Baseline,Summary (SI),Notes,CountryPopulation,Design (F/U Period),Description of Quality/Bias,Reference
2bd05142-0eb7-457f-a6e4-cd22ce8ceac5,Strawbridge et al. 2001,yes,Low / Moderate,"2,676",OR,,,OR,,1.780,1.22,2.61,,,,,,2,,no,recovery,Substance Use,Smoking,Dichotomous,Use (Discontinued),Quitting smoking (dichotomous),need to invert,TRUE,"For those who were smoking in 1965, both men and women, reference less or never attending",,RSA,Religious Service Attendance,Religious attendance (frequency scale),,"For both men and women, weekly attendance was associated with a statistically significant improvement in quitting smoking [OR=1.78 (95% CI: 1.22, 2.61)]",,"US Adults 17-65 from Alameda County, CA",Prospective cohort study (30 years),"Controlled for baseline outcomes and multiple other potential confounders (eg. self-reported health, gender, age).","Controlled for baseline outcomes and multiple other potential confounders (eg. self-reported health, gender, age)."
0a890edd-0fb0-4248-bb54-4f740ce77a12,Strawbridge et al. 2001,no,Low / Moderate,"2,676",OR,,,,,1.540,1.22,1.94,,,,,,2,,,,Health,Physical Activity,Dichotomous,Use (Started/Used),Becoming physically active (dichotomous),,,"For those not active in 1965, both men and women, reference less or never attending",,RSA,Religious Service Attendance,Religious attendance (frequency scale),,"For both men and women, weekly attendance was associated with a statistically significant improvement in becoming often physically active [OR=1.54 (95% CI: 1.22, 1.94)]",,"US Adults 17-65 from Alameda County, CA",Prospective cohort study (30 years),"Controlled for baseline outcomes and multiple other potential confounders (eg. self-reported health, gender, age).","Controlled for baseline outcomes and multiple other potential confounders (eg. self-reported health, gender, age)."
5259284c-ef39-4611-a44a-04c2e8e55409,Strawbridge et al. 2001,yes,Low / Moderate,"2,676",OR,,,OR,,1.390,0.73,2.63,,,,,,2,,no,recovery,Substance Use,Alcohol,Dichotomous,Use (Discontinued),Stopping heavy drinking,need to invert,TRUE,"For those drinking heavily in 1965, both men and women, reference less or never attending",,RSA,Religious Service Attendance,Religious attendance (frequency scale),,"For both men and women, weekly attendance was associated with a statistically significant improvement in becoming often physically active [OR=1.54 (95% CI: 1.22, 1.94)]",,"US Adults 17-65 from Alameda County, CA",Prospective cohort study (30 years),"Controlled for baseline outcomes and multiple other potential confounders (eg. self-reported health, gender, age).","Controlled for baseline outcomes and multiple other potential confounders (eg. self-reported health, gender, age)."
3f325681-a67f-4d70-8f7f-b2dd068e55a1,Strawbridge et al. 2001,yes,Low / Moderate,"2,676",OR,,,OR,,0.550,0.26,1.18,,,,,,3,,yes,preventative,Substance Use,Smoking,Dichotomous,Use (Started/Used),Starting smoking (dichotomous),,,"For those never smoking in 1965, both men and women, reference less or never attending",,RSA,Religious Service Attendance,Religious attendance (frequency scale),,,,"US Adults 17-65 from Alameda County, CA",Prospective cohort study (30 years),"Controlled for baseline outcomes and multiple other potential confounders (eg. self-reported health, gender, age).","Controlled for baseline outcomes and multiple other potential confounders (eg. self-reported health, gender, age)."
baf4c117-dc48-4a5d-b87d-621b3da96cba,Strawbridge et al. 2001,no,Low / Moderate,"2,676",OR,,,,,0.930,0.69,1.24,,,,,,3,,,,Health,Physical Activity,Dichotomous,Reduced,Reduced physical activity,,,"For those often active in 1965, both men and women, reference less or never attending",,RSA,Religious Service Attendance,Religious attendance (frequency scale),,,,"US Adults 17-65 from Alameda County, CA",Prospective cohort study (30 years),"Controlled for baseline outcomes and multiple other potential confounders (eg. self-reported health, gender, age).","Controlled for baseline outcomes and multiple other potential confounders (eg. self-reported health, gender, age)."
ac73d790-2beb-4085-b710-5cc42c64b254,Strawbridge et al. 2001,yes,Low / Moderate,"2,676",OR,,,OR,,0.920,0.63,1.33,,,,,,3,,yes,preventative,Substance Use,Alcohol,Dichotomous,Use (Started/Used),Started drinking heavily,,,"For those not drinking heavily in 1965, both men and women, reference less or never attending",,RSA,Religious Service Attendance,Religious attendance (frequency scale),,,,"US Adults 17-65 from Alameda County, CA",Prospective cohort study (30 years),"Controlled for baseline outcomes and multiple other potential confounders (eg. self-reported health, gender, age).","Controlled for baseline outcomes and multiple other potential confounders (eg. self-reported health, gender, age)."
df72dd9f-0a45-47d4-9afc-1e045231512a,Terry-McElrath et al. 2017,yes,Low / Moderate,"9,831",AAR,Adjusted Relative Risk Ratios,,RR,,4.42,2.85,6.85,,,,<0.001,,SI 1B,Persistant Heavy Users,no,preventative,Substance Use,Marijuana,Dichotomous,Use (Started/Used),Marijuana use (participants assigned to use classes),,,,,R/S,Religious Commitment,"Religious commitment (composite of personal importance of religion and religious service attendance, low, medium, and high)",,The risk of being in any marijuana class involving use (vs. Non-use) was higher for those who reported lower religious commitment at age 18 [all p<0.001].,SI only notes p-value; need to read paper,US 12th graders from the National Monitoring the Future Study,Prospective cohort study (32 years),"Control for baseline outcomes; multiple controls for key variates (SES, alcohol use and smoking, education, health outcomes at age 50, etc.).","Terry-McElrath, Y. M.; O'Malley, P. M.; Johnston, L. D.; Bray, B. C.; Patrick, M. E.; Schulenberg, J. E. Longitudinal patterns of marijuana use across ages 18-50 in a US national sample: A descriptive examination of predictors and health correlates of repeated measures latent class membership. Drug Alcohol Depend Feb 1 2017; 171():70-83."
e55ceffc-babf-4a80-aa55-5cd84f495242,Wills et al. 2003,no,Low / Moderate,"1,182",B,,,,,-0.07,,,,,,<0.01,yes,2,7th grade,,,Substance Use,Combined,,,Alcohol and other substance use (frequency scale); Seem to have created a composite measure,,,7th grade,,R/S,Religiousness,"Religiosity (composite importance scale: belief in God, rely on religious teachings, turn to prayer, beliefs as guide for",,"Religiosity has an inverse association with substance use at each assessment time point [B=- 0.07 to -0.09, all p<0.01].",,US 7-10th graders from New York City area,Prospective cohort study (3 years),"Controlled for baseline outcomes and some other confounders (negative life events, demographics and family structure).","Wills, T. A.; Yaeger, A. M.; Sandy, J. M.Buffering effect of religiosity for adolescent substance use. Psychol Addict Behav Mar 2003;17(1):24-31."
01a8d863-e6ba-4391-b3fa-434c7b1d836d,Wills et al. 2003,no,Low / Moderate,"1,182",B,,,,,-0.09,,,,,,<0.001,yes,2,8th grade,,,Substance Use,Combined,,,Alcohol and other substance use (frequency scale); Seem to have created a composite measure,,,8th grade,,R/S,Religiousness,"Religiosity (composite importance scale: belief in God, rely on religious teachings, turn to prayer, beliefs as guide for",,,,US 7-10th graders from New York City area,Prospective cohort study (3 years),"Controlled for baseline outcomes and some other confounders (negative life events, demographics and family structure).","Wills, T. A.; Yaeger, A. M.; Sandy, J. M.Buffering effect of religiosity for adolescent substance use. Psychol Addict Behav Mar 2003;17(1):24-31."
34c5b1a5-35a9-4c1c-b4bf-01e934b2801a,Wills et al. 2003,no,Low / Moderate,"1,182",B,,,,,-0.09,,,,,,<0.001,yes,2,9th grade,,,Substance Use,Combined,,,Alcohol and other substance use (frequency scale); Seem to have created a composite measure,,,9th grade,,R/S,Religiousness,"Religiosity (composite importance scale: belief in God, rely on religious teachings, turn to prayer, beliefs as guide for",,,,US 7-10th graders from New York City area,Prospective cohort study (3 years),"Controlled for baseline outcomes and some other confounders (negative life events, demographics and family structure).","Wills, T. A.; Yaeger, A. M.; Sandy, J. M.Buffering effect of religiosity for adolescent substance use. Psychol Addict Behav Mar 2003;17(1):24-31."
c1633c8d-5e5c-410b-864f-198d177227b5,Wills et al. 2003,yes,Low / Moderate,"1,182",β,,"multiple regression, methods states that predictors were standardized",sRMD,,-0.08,,,,,,<0.001,yes,2,10th grade,yes,preventative,Substance Use,Combined,Frequency,Use (Started/Used),Alcohol and other substance use (frequency scale); Seem to have created a composite measure,,,10th grade,,R/S,Religiousness,"Religiosity (composite importance scale: belief in God, rely on religious teachings, turn to prayer, beliefs as guide for",,,,US 7-10th graders from New York City area,Prospective cohort study (3 years),"Controlled for baseline outcomes and some other confounders (negative life events, demographics and family structure).","Wills, T. A.; Yaeger, A. M.; Sandy, J. M.Buffering effect of religiosity for adolescent substance use. Psychol Addict Behav Mar 2003;17(1):24-31."
f6f64222-0fb9-470d-815f-94d2ff26b200,Wills et al. 2003,no,Low / Moderate,"1,182",B interaction,,,,,,-0.05,-0.07,,,,<0.05,,,,,,Substance Use,Alcohol,,,Alcohol and other substance use (frequency scale),,,,,R/S,Religiousness,"Religiosity (composite importance scale: belief in God, rely on religious teachings, turn to prayer, beliefs as guide for",,"Stressful life events had a significant interaction with religiosity [B=-0.05 to -0.07, all p<0.05], suggesting that religiosity can buffer the impact of stressful life events on substance use.",,US 7-10th graders from New York City area,Prospective cohort study (3 years),"Controlled for baseline outcomes and some other confounders (negative life events, demographics and family structure).","Wills, T. A.; Yaeger, A. M.; Sandy, J. M.Buffering effect of religiosity for adolescent substance use. Psychol Addict Behav Mar 2003;17(1):24-31."
433f039b-382f-43f7-8bc4-2f90cb0cbf69,Wills et al. 2003,no,Low / Moderate,"1,182",RMSEA,,,,,0.03,0.019,0.043,,,,,,,,,,Substance Use,Alcohol,,,Alcohol and other substance use (frequency scale),,,,,R/S,Religiousness,"Religiosity (composite importance scale: belief in God, rely on religious teachings, turn to prayer, beliefs as guide for",,"Latent growth analysis showed that religiosity reduced the impact of life stress on initial level of substance use and on rate of growth in substance use over time[model had a reasonable fit, RMSEA=0.031 (95% CI: 0.019, 0.043)].",,US 7-10th graders from New York City area,Prospective cohort study (3 years),"Controlled for baseline outcomes and some other confounders (negative life events, demographics and family structure).","Wills, T. A.; Yaeger, A. M.; Sandy, J. M.Buffering effect of religiosity for adolescent substance use. Psychol Addict Behav Mar 2003;17(1):24-31."
af0c97b5-92f5-4fac-a879-51690c2ac0e3,Yong et al. 2009,no,Low / Moderate,"3,453",AOR,,,,,1.39,1.05,1.86,,,,<0.01,,4,,,,Substance Use,Smoking,Dichotomous,Use (Started/Used),Smoking quit attempts (dichotomous),,,wave 1 outcome,,R/S,Religiousness,Religiosity (scale),,"Very religious smokers were more likely to attempt to quit smoking within 6 month [AOR=1. 39 (95% CI: 1.05, 1.86)].",,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
b37e6638-6af8-4398-8d2d-5639ad45881a,Yong et al. 2009,no,Low / Moderate,"3,453",AOR,a little,,,,1.70,1.17,2.48,,,,,,4,,,,Substance Use,Smoking,Dichotomous,Use (Started/Used),Smoking quit attempts (dichotomous),,,wave 1 outcome,,R/S,Religious Norms,Religious norms (scale),,"Participants who would be motivated by a religious leader advice to quit were also significantly more likely to attempt quitting than those unmotivated by a leader's advice [[AOR(a little)=1.70 (95% CI: 1.17, 2.48)].",,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
f6a20f50-e6b5-4e3c-8b9d-77cdd90f12c5,Yong et al. 2009,no,Low / Moderate,"3,453",AOR,a lot,,,,2.65,1.82,3.86,,,,,,4,,,,Substance Use,Smoking,Dichotomous,Use (Started/Used),Smoking quit attempts (dichotomous),,,wave 1 outcome,,R/S,Religious Norms,Religious norms (scale),,"Participants who would be motivated by a religious leader advice to quit were also significantly more likely to attempt quitting than those unmotivated by a leader's advice [AOR(a lot)=2.65 (95% CI: 1.82, 3.86)].",,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
402a5a5a-c8a2-44bd-8811-05e1fba6181a,Yong et al. 2009,yes,Low / Moderate,507,AOR,,,OR,,1.07,0.49,2.31,,,,>0.05,,5,Malaysia AOR,yes,recovery,Substance Use,Smoking,Dichotomous,Use (Discontinued Attempts),Smoking quit attempts (dichotomous),need to invert,TRUE,wave 2 outcome - Malaysia,,R/S,Religiousness,Religiosity (scale),,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
8ae8f0ad-927b-4f0e-827b-f19a14b55496,Yong et al. 2009,yes,Low / Moderate,"1,456",AOR,,,OR,,1.06,0.8,1.4,,,,>0.05,,5,Thailand AOR,yes,recovery,Substance Use,Smoking,Dichotomous,Use (Discontinued Attempts),Smoking quit attempts (dichotomous),need to invert,TRUE,wave 2 outcome - Thailand,,R/S,Religiousness,Religiosity (scale),,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
4b8d1d25-8424-4f0c-8fe5-63cac6494f40,Yong et al. 2009,yes,Low / Moderate,244,AOR,,,OR,,3.37,1.77,6.4,,,,<0.01,,5,Malaysia AOR - Yes vs No,yes,recovery,Substance Use,Smoking,Dichotomous,Use (Discontinued Attempts),Smoking quit attempts (dichotomous),need to invert,TRUE,wave 2 outcome - Malaysia,,R/S,Religious Norms,Religious norms (scale); religion discourages smoking,,"Individuals who said that their religion discourages smoking also were more likely to attempt quitting but only among Malay Muslims [AOR=3.337 (95% CI: 1.77, 6.40)].",,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
b218cb48-4caf-4b38-9d97-333ae59eed30,Yong et al. 2009,yes,Low / Moderate,"1,078",AOR,,,OR,,0.86,0.52,1.44,,,,>0.05,,5,Thailand AOR - Yes vs No,yes,recovery,Substance Use,Smoking,Dichotomous,Use (Discontinued Attempts),Smoking quit attempts (dichotomous),need to invert,TRUE,wave 2 outcome - Thailand,,R/S,Religious Norms,Religious norms (scale); religion discourages smoking,,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
12bcfeb8-404c-4b4b-80fe-9372f75dca80,Yong et al. 2009,no,,507,AOR,,,,,1.21,0.64,2.29,,,,>0.05,,5,Malaysia AOR,,,Substance Use,Smoking,Dichotomous,Use (Discontinued Attempts),Smoking quit attempts (dichotomous),need to invert,,wave 2 outcome - Malaysia,,,,Leader said to quit - yes vs no,,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
02e92478-d6be-4ee1-8128-19faf9118159,Yong et al. 2009,no,,"1,456",AOR,,,,,1.07,0.71,1.61,,,,>0.05,,5,Thailand AOR,,,Substance Use,Smoking,Dichotomous,Use (Discontinued Attempts),Smoking quit attempts (dichotomous),need to invert,,wave 2 outcome - Thailand,,,,Leader said to quit - yes vs no,,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
5a47fbf6-3060-45da-952a-7a96465d1c35,Yong et al. 2009,no,,507,AOR,,,,,1.20,0.6,2.44,,,,>0.05,,5,Malaysia AOR,,,Substance Use,Smoking,Dichotomous,Use (Discontinued Attempts),Smoking quit attempts (dichotomous),need to invert,,wave 2 outcome - Malaysia,,,,Leader would motivate to quit - a little vs not at all,,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
3b56c3dc-3745-414f-82f8-0b1ecb98918e,Yong et al. 2009,no,,507,AOR,,,,,0.88,0.42,1.85,,,,>0.05,,5,Malaysia AOR,,,Substance Use,Smoking,Dichotomous,Use (Discontinued Attempts),Smoking quit attempts (dichotomous),need to invert,,wave 2 outcome - Malaysia,,,,Leader would motivate to quit - a little vs not at all,,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
c8d22fee-f6c7-45e8-901b-a85b8f5c88a8,Yong et al. 2009,no,,"1,456",AOR,,,,,1.47,0.92,2.35,,,,>0.05,,5,Thailand AOR,,,Substance Use,Smoking,Dichotomous,Use (Discontinued Attempts),Smoking quit attempts (dichotomous),need to invert,,wave 2 outcome - Thailand,,,,Leader would motivate to quit - a lot vs not at all,,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
7b3970e9-cf1e-4dbe-9364-38c472daec17,Yong et al. 2009,no,,"1,456",AOR,,,,,1.87,1.13,3.09,,,,>0.05,,5,Thailand AOR,,,Substance Use,Smoking,Dichotomous,Use (Discontinued Attempts),Smoking quit attempts (dichotomous),need to invert,,wave 2 outcome - Thailand,,,,Leader would motivate to quit - a lot vs not at all,,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
a0ecbc35-af22-4bd4-942c-5e38feb93add,Yong et al. 2009,yes,Low / Moderate,244,AOR,,,OR,,1.45,0.61,3.46,,,,>0.05,,5,Malaysia AOR,yes,recovery,Substance Use,Smoking,Dichotomous,Use (quit succesful),Smoking quit (dichotomous),need to invert,TRUE,wave 2 outcome - Malaysia,,R/S,Religiousness,Religiosity (scale),,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
ecdbc0a1-0660-4acb-9086-ccd97c27211c,Yong et al. 2009,yes,Low / Moderate,"1,078",AOR,,,OR,,1.36,0.89,2.09,,,,>0.05,,5,Thailand AOR,yes,recovery,Substance Use,Smoking,Dichotomous,Use (quit succesful),Smoking quit (dichotomous),need to invert,TRUE,wave 2 outcome - Thailand,,R/S,Religious Norms,Religious norms (scale); religion discourages smoking,,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
e935c06a-2726-459f-a375-4aa87ad3c542,Yong et al. 2009,yes,Low / Moderate,244,AOR,,,OR,,1.33,0.31,5.71,,,,>0.05,,5,Malaysia AOR,yes,recovery,Substance Use,Smoking,Dichotomous,Use (quit succesful),Smoking quit (dichotomous),need to invert,TRUE,wave 2 outcome - Malaysia,,R/S,Religiousness,Religiosity (scale),,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
303c1907-8d41-46b3-bc46-ebb0eb6eb776,Yong et al. 2009,yes,Low / Moderate,"1,078",AOR,,,OR,,0.85,0.36,1.97,,,,>0.05,,5,Thailand AOR,yes,recovery,Substance Use,Smoking,Dichotomous,Use (quit succesful),Smoking quit (dichotomous),need to invert,TRUE,wave 2 outcome - Thailand,,R/S,Religious Norms,Religious norms (scale); religion discourages smoking,,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
47e1b090-7c70-4fa7-b83d-fd8c2b4aa926,Yong et al. 2009,no,,244,AOR,,,,,2.05,0.41,10.29,,,,>0.05,,5,Malaysia AOR,,,Substance Use,Smoking,Dichotomous,Use (quit succesful),Smoking quit (dichotomous),need to invert,,wave 2 outcome - Malaysia,,,,Leader said to quit - yes vs no,,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
40c62933-09ab-4681-b03a-ea8636c76735,Yong et al. 2009,no,,"1,078",AOR,,,,,0.87,0.49,1.57,,,,>0.05,,5,Thailand AOR,,,Substance Use,Smoking,Dichotomous,Use (quit succesful),Smoking quit (dichotomous),need to invert,,wave 2 outcome - Thailand,,,,Leader said to quit - yes vs no,,,,Malaysia and Thailand Adult Malaysian Muslim and Thai Buddhist smokers,Prospective cohort study (Avg. 1 year),"Quit attempts not measured at baseline, but utilized proxy (cigarettes smoked per day, intention to quit); used multiple other potential confounders (age, sex, income, education, rural/urban); potential bias sample in those lost to follow up were less interested in quitting smoking at baseline.","Yong, H. H., Hamann, S. L., Borland, R., Fong, G. T., & Omar, M. (2009). Adult smokers' perception of the role of religion and religious leadership on smoking and association with quitting: A comparison between Thai Buddhists and Malaysian Muslims. Social Science & Medicine, 69(7), 1025- 1031."
